iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AFG,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,45133.04353,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
AFG,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,45367.759791,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
AFG,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,45680.172958,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
AFG,buildings,other-onsite-fuel-usage,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,0.295705,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:47.837494
AFG,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,5.677155,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
AFG,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,45885.26093,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
AFG,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,46123.889015,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
AFG,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,46441.509062000005,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
AFG,buildings,other-onsite-fuel-usage,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,0.300633,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 16:28:28.592487
AGO,buildings,other-onsite-fuel-usage,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,2.688009,tonnes,,2023-10-06 14:56:33.428328,
